start_bp	end_bp	ancID	childID
99580676	100000001	2	4603
0	4350496	1	19356
4350496	7029928	2	19356
7029928	7071401	1	19356
7071401	7186464	2	19356
7186464	10460970	1	19356
10460970	12106745	2	19356
12106745	16768844	1	19356
16768844	19313110	2	19356
19313110	21866287	1	19356
21866287	25319199	2	19356
25319199	26959585	1	19356
26959585	30589791	2	19356
30589791	31418650	1	19356
31418650	33541806	2	19356
33541806	33683751	1	19356
33683751	36048457	2	19356
36048457	36852019	1	19356
36852019	37382559	2	19356
37382559	43624464	1	19356
43624464	43660367	2	19356
43660367	45601720	1	19356
45601720	46593826	2	19356
46593826	58788019	1	19356
58788019	59928023	2	19356
59928023	61105475	1	19356
61105475	61193956	2	19356
61193956	63359039	1	19356
63359039	73109106	2	19356
73109106	73974987	1	19356
73974987	74990505	2	19356
74990505	75090043	1	19356
75090043	75502703	2	19356
75502703	75648364	1	19356
75648364	77819036	2	19356
77819036	78683615	1	19356
78683615	80107624	2	19356
80107624	84556387	1	19356
84556387	85782800	2	19356
85782800	86769524	1	19356
86769524	93525347	2	19356
93525347	93617904	1	19356
93617904	97362380	2	19356
97362380	99263749	1	19356
99263749	100000001	2	19356
0	3028191	2	9069
3028191	4548280	1	9069
4548280	5290748	2	9069
5290748	5578236	1	9069
5578236	7186464	2	9069
7186464	7334040	1	9069
7334040	9462618	2	9069
9462618	13478920	1	9069
13478920	15022625	2	9069
15022625	15273466	1	9069
15273466	16088369	2	9069
16088369	17755844	1	9069
17755844	21044013	2	9069
21044013	23459943	1	9069
23459943	24223483	2	9069
24223483	24572456	1	9069
24572456	24817332	2	9069
24817332	25250509	1	9069
25250509	28391235	2	9069
28391235	29904233	1	9069
29904233	32422431	2	9069
32422431	33686768	1	9069
33686768	34969654	2	9069
34969654	37022305	1	9069
37022305	37256537	2	9069
37256537	42065248	1	9069
42065248	43206202	2	9069
43206202	56749273	1	9069
56749273	56904375	2	9069
56904375	60470582	1	9069
60470582	60755184	2	9069
60755184	61643644	1	9069
61643644	61768608	2	9069
61768608	69600685	1	9069
69600685	69705707	2	9069
69705707	72454992	1	9069
